,,,,,,,,,,,,
DANH SÁCH BỆNH THEO DANH MỤC ICD,,,,,,,,,,,,
Ngày 19 tháng 08 năm 2021,,,,,,,,,,,,
,,,,,,,,,,,,
STT,Mã,Tên bệnh ,Nhóm bệnh,Mãn tính,Bệnh của,Thường gập,Bệnh năm,Không BH,Ngoài DS,Chuyên khoa,Mô tả,Hiệu lực
1,Z95.8,Sự có mặt của dụng cụ cấy và mảnh ghép tim và mạch máu khác,Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
2,Z95.9,"Sự có mặt của dụng cụ cấy và mảnh ghép tim và mạch máu, không đặc hiệu",Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
3,Z96,Tồn tại của dụng cụ cấy ghép chức năng khác,Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
4,Z96.0,Sự có mặt các dụng cụ cấy ghép tiết niệu sinh dục,Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
5,Z96.1,Sự có mặt của thấu kính nội nhãn,Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
6,Z96.2,Sự có mặt của dụng cụ cấy ghép tai và thính giác,Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
7,Z96.3,Sự có mặt của họng nhân tạo,Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
8,Z96.4,Sự có mặt của dụng cụ cấy ghép nội tiết,Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
9,Z96.5,Sự có mặt của dụng cụ cấy chân răng và hàm má,Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
10,Z96.6,Sự có mặt của dụng cụ chỉnh hình khớp,Những người có nguy cơ sức khỏe tiềm ẩn liên quan đến bệnh sử gia đình và cá nhân và một số tình trạng ảnh hưởng đến sức khỏe,,,,,,,,QĐ 4469/BYT ngày 28/10/2020,Có
